ID,Name,Category,Count,Colors (HEX),Moods,Aesthetics
8-bit-dungeon,8-Bit Dungeon,Retro Gaming & Pop Culture,3,"#000000ff, #991b1bff, #b45309ff","retro, gaming, pop-culture",Retro Gaming & Pop Culture
abstract-echo-2,Abstract Echo 2,Procedural Organic,3,"#41150bff, #db2f38ff, #f7d3deff",procedural,organic
abstract-edge,Abstract Edge,Procedural Industrial,3,"#194a02ff, #91f713ff, #f3fdcdff",procedural,industrial
abstract-gaze,Abstract Gaze,Procedural Cinematic,3,"#f1d9eeff, #c04bc0ff, #331338ff",procedural,cinematic
abstract-horizon-2,Abstract Horizon 2,Procedural Urban,3,"#2f0942ff, #992be0ff, #e7d2f8ff",procedural,urban
abstract-shadow-2,Abstract Shadow 2,Procedural Natural,3,"#1e1f2eff, #6d6d9eff, #e0e0eaff",procedural,natural
abstract-shift,Abstract Shift,Procedural Urban,3,"#fdcdddff, #f71489ff, #4a0234ff",procedural,urban
amber-forge-trio,Amber Forge Trio,Orange & Industrial,3,"#1c0f05ff, #7c2d12ff, #f97316ff","orange, industrial","Forge, Manufacturing"
binary-black,Binary Black,High-Tech Utility & Dev Tools,3,"#000000ff, #111111ff, #222222ff","minimal, dark, technical",Developer Tools
biolume-trench,Biolume Trench,Abyssal Depths,3,"#031f48ff, #1848f2ff, #ced0fcff",expressive,abyssal
black-hole-void,Black Hole Void,Celestial Mysteries,3,"#130744ff, #6e24e6ff, #e7d1f9ff",expressive,celestial
blush-signal-trio,Blush Signal Trio,Pink & Interface,3,"#1f0a17ff, #db2777ff, #f9a8d4ff","pink, bright","Signal, Interface"
carbon-ledger-trio,Carbon Ledger Trio,Black & Professional,3,"#050505ff, #111111ff, #1c1c1eff","black, professional","Finance, Reports"
citrus-ink,Citrus Ink,Bold & Fresh,3,"#111827ff, #84cc16ff, #facc15ff","bold, fresh","Startup, Poster"
civic-cloud,Civic Cloud,Enterprise SaaS,3,"#1e293bff, #334155ff, #64748bff","professional, trustworthy","Corporate, Clean"
cobalt-circuit-trio,Cobalt Circuit Trio,Blue & Technical,3,"#020617ff, #0f172aff, #1e3a8aff","blue, technical","Circuit, Developer"
coral-signal,Coral Signal,Warm & Digital,3,"#ff6b6bff, #6c5ce7ff, #0984e3ff","warm, digital","Interface, Accent"
cosmic-abyss-3,Cosmic Abyss 3,Procedural Minimalist,3,"#0f3d13ff, #56ce3dff, #e4f4d6ff",procedural,minimalist
cosmic-echo-3,Cosmic Echo 3,Procedural Urban,3,"#f9d1f9ff, #c124e7ff, #2d0744ff",procedural,urban
cosmic-logic,Cosmic Logic,Procedural Urban,3,"#f1d9dfff, #bc4e8bff, #371432ff",procedural,urban
cosmic-state,Cosmic State,Procedural Cosmic,3,"#261a32ff, #8d5facff, #e8ddedff",procedural,cosmic
cosmic-vibe,Cosmic Vibe,Procedural Sci-Fi,3,"#251a31ff, #8761aaff, #e6ddedff",procedural,sci-fi
cosmic-vibe-2,Cosmic Vibe 2,Procedural Tech,3,"#feccdcff, #fb1026ff, #4b0a01ff",procedural,tech
crimson-circuit-trio,Crimson Circuit Trio,Red & Technical,3,"#160607ff, #2a0a0dff, #5f0f14ff","red, technical","Circuit, Developer"
crimson-glow,Crimson Glow,Procedural Urban,3,"#43090dff, #e22c29ff, #f8d6d2ff",procedural,urban
crimson-pulse,Crimson Pulse,Procedural Cosmic,3,"#4a022dff, #f81385ff, #fdcde0ff",procedural,cosmic
crimson-shadow,Crimson Shadow,Procedural Sci-Fi,3,"#2c1636ff, #9553b8ff, #e7daf0ff",procedural,sci-fi
crimson-shift-3,Crimson Shift 3,Procedural Atmospheric,3,"#453607ff, #e88923ff, #fadcd0ff",procedural,atmospheric
cyber-canvas,Cyber Canvas,Procedural Cinematic,3,"#1c1932ff, #635eadff, #ddddedff",procedural,cinematic
cyber-canvas-2,Cyber Canvas 2,Procedural Urban,3,"#1d1c30ff, #6574a5ff, #dee5ecff",procedural,urban
cyber-core-2,Cyber Core 2,Procedural Cinematic,3,"#45071fff, #e72450ff, #fad0d3ff",procedural,cinematic
cyber-edge,Cyber Edge,Procedural Urban,3,"#3f0c3bff, #d634acff, #f6d4e7ff",procedural,urban
cyber-flame,Cyber Flame,Procedural Abstract,3,"#370942ff, #c02ae0ff, #f2d2f8ff",procedural,abstract
cyber-void-3,Cyber Void 3,Procedural Natural,3,"#4c003fff, #fe0c9cff, #feccdeff",procedural,natural
dark-echo,Dark Echo,Procedural Vintage,3,"#3e0f0eff, #d13a3eff, #f5d5d7ff",procedural,vintage
dark-glaze,Dark Glaze,Procedural Atmospheric,3,"#354309ff, #dae129ff, #f8f2d2ff",procedural,atmospheric
dark-matrix,Dark Matrix,Procedural Organic,3,"#d3daf7ff, #326ed9ff, #0b2840ff",procedural,organic
dark-rhythm-3,Dark Rhythm 3,Procedural Natural,3,"#2a1339ff, #af49c2ff, #f2d8f0ff",procedural,natural
dark-storm,Dark Storm,Procedural Atmospheric,3,"#eefdcdff, #e3f812ff, #4a4001ff",procedural,atmospheric
denim-drift,Denim Drift,Textiles,3,"#1e3a8aff, #3b82f6ff, #bfdbfeff","minimal, warm",Textiles
desert-aura,Desert Aura,Procedural Tech,3,"#121539ff, #4760c4ff, #d8e0f2ff",procedural,tech
desert-canvas-2,Desert Canvas 2,Procedural Vintage,3,"#e4daf0ff, #6051baff, #151a36ff",procedural,vintage
desert-echo,Desert Echo,Procedural Sci-Fi,3,"#042248ff, #199bf2ff, #cef1fcff",procedural,sci-fi
desert-geometry,Desert Geometry,Procedural Cosmic,3,"#1b420aff, #6ade2cff, #e0f8d2ff",procedural,cosmic
desert-heat,Desert Heat,Nature & Elemental,3,"#bc6c25ff, #dda15eff, #fefae0ff","minimal, warm",Nature
desert-state,Desert State,Procedural Organic,3,"#12363aff, #46c5bcff, #d8f2ecff",procedural,organic
digital-flame-3,Digital Flame 3,Procedural Atmospheric,3,"#edebddff, #ab9960ff, #32291aff",procedural,atmospheric
digital-horizon,Digital Horizon,Procedural Organic,3,"#3e0d27ff, #d3389fff, #f5d5efff",procedural,organic
digital-logic-2,Digital Logic 2,Procedural Cosmic,3,"#113b38ff, #43c8acff, #d7f3e9ff",procedural,cosmic
earthy-breeze,Earthy Breeze,Procedural Tech,3,"#074544ff, #23e8d8ff, #d0faf3ff",procedural,tech
earthy-organic,Earthy Organic,Nature & Elemental,3,"#1b211cff, #9fae9bff, #f2f5f0ff","minimal, nature",Nature
earthy-shift,Earthy Shift,Procedural Sci-Fi,3,"#e1f8d2ff, #52e12aff, #0c4309ff",procedural,sci-fi
earthy-symphony,Earthy Symphony,Procedural Cinematic,3,"#41180aff, #dd672eff, #f7e2d3ff",procedural,cinematic
earthy-zenith,Earthy Zenith,Procedural Vintage,3,"#363215ff, #b7b952ff, #ecf0daff",procedural,vintage
electric-mauve-trio,Electric Mauve Trio,Purple & Electric,3,"#0b0614ff, #20113aff, #3b1d5fff","purple, electric","Cyber, Mauve"
ember-dusk,Ember Dusk,Warm & Dramatic,3,"#1c1018ff, #c44536ff, #f6c85fff","warm, dramatic","Editorial, Sunset"
emerald-circuit-trio,Emerald Circuit Trio,Green & Technical,3,"#02140bff, #052e16ff, #14532dff","green, technical","Circuit, Developer"
emerald-dawn-2,Emerald Dawn 2,Procedural Organic,3,"#100a42ff, #702cdeff, #ebd2f8ff",procedural,organic
emerald-envy,Emerald Envy,Minerals,3,"#064e3bff, #10b981ff, #a7f3d0ff","minerals, professional",Modern
emerald-geometry-2,Emerald Geometry 2,Procedural Sci-Fi,3,"#1b3417ff, #64b358ff, #deefdbff",procedural,sci-fi
espresso-roast,Espresso Roast,Culinary,3,"#2c1810ff, #3e2723ff, #f5e6ccff","minimal, warm",Culinary
ethereal-gaze,Ethereal Gaze,Procedural Abstract,3,"#2f271cff, #a47c67ff, #ebe0dfff",procedural,abstract
ethereal-logic,Ethereal Logic,Procedural Cosmic,3,"#f3fad0ff, #8ce823ff, #164507ff",procedural,cosmic
ethereal-spark,Ethereal Spark,Procedural Abstract,3,"#cee7fcff, #189cf3ff, #033148ff",procedural,abstract
ethereal-wave,Ethereal Wave,Procedural Urban,3,"#1a3224ff, #5fac82ff, #ddede5ff",procedural,urban
floral-echo,Floral Echo,Procedural Organic,3,"#f4d6eeff, #cb3fa0ff, #3c1029ff",procedural,organic
floral-glaze,Floral Glaze,Procedural Minimalist,3,"#381339ff, #a549c2ff, #e6d8f2ff",procedural,minimalist
floral-pulse-2,Floral Pulse 2,Procedural Cinematic,3,"#21301bff, #73a665ff, #e0ecdeff",procedural,cinematic
floral-rhythm-2,Floral Rhythm 2,Procedural Natural,3,"#1a3c10ff, #7bcc3fff, #e9f4d6ff",procedural,natural
forest-aesthetic,Forest Aesthetic,Procedural Organic,3,"#2f1c27ff, #a36878ff, #ebdfdfff",procedural,organic
forest-breeze-2,Forest Breeze 2,Procedural Abstract,3,"#153621ff, #51ba92ff, #daf0edff",procedural,abstract
